NAME,CATEGORIES,DESCRIPTION,LATITUDE,RATING,LONGITUDE,DESTINATION,GENERAL_LOCATION,ID,split
Calle de las Huertas,"['Sights & Landmarks', 'Points of Interest & Landmarks']",,40.41326,4.5,-3.69675,Madrid,,7113666,train
Plaza de Santa Ana,"['Sights & Landmarks', 'Nature & Parks', 'Parks', 'Points of Interest & Landmarks']","Tapas bars and clubs line this scenic plaza, making it one of Madrid's most popular nightlife hotspots.",40.41465,4.5,-3.70134,Madrid,,190148,train
Strandbar Mitte,"['Nature & Parks', 'Outdoor Activities', 'Beaches']",,52.52253,4.0,13.394717,Berlin,,664346,train
Istanbul Airport Black Taxis,"['Transportation', 'Taxis & Shuttles']","Istanbul Airport Black Taxis is conveniently situated at Istanbul Airport terminals To guarantee your airport transfers, booking in advance is recommended. You will receive instant confirmation with reservation number. Whether it is business or leisure Istanbul Airport Taxis can ensure it's an easy experience for your Airport Transfer in Istanbul. We offer economical scheduled service to and from Istanbul airports (Train Station, Karakoy Cruise Terminal), Istanbul Airport, Sabiha Gokcen Airport and All Istanbul City Hotels. Please do not review us, if you used regular yellow street taxis or Airport yellow taxis. All our cars are black taxi vans.. We only accept booking through our website or via email.",40.9865,4.5,28.8305,Istanbul,,2557569,train
Santa Maria Francesca Delle Cinque Piaghe,"['Sights & Landmarks', 'Churches & Cathedrals']",,40.84044,4.5,14.24771,Naples,,6433683,train
Arch of Constantine,"['Sights & Landmarks', 'Monuments & Statues', 'Points of Interest & Landmarks']","The Arch of Constantine, built on the route followed by the triumphal processions, in the stretch between the Circus Maximus and the Arch of Titus, is the largest honorary arch that has come down to us. It is a synthesis of Constantine’s ideological propaganda. The arch celebrates the triumph of the emperor Constantine over Maxentius on October 28, 312 AD following the battle at the Milvian Bridge. The inscription on the central vault tells us that the monument was solemnly dedicated by the Senate to the emperor in memory of that triumph and on the occasion of the empire’s decennalia, at the start of the tenth year of his reign, on July 25, 315 AD.",41.889797,4.5,12.490657,Rome,"Via di San Gregorio, 00186",191411,train
Escape Rooms,"['Fun & Games', 'Room Escape Games']",Escape Rooms - Live escape game in London! Solve uniquely designed puzzles and get out of the locked room before your 60 minutes runs out. Want to have an unforgettable experience with lots of fun for your trip to London? Book online Now!,51.503754,4.5,-0.081602,London,"Rear of 134 Tooley Street, SE1 2TU",6991584,train
Monumental Complex Donnaregina - Diocesan Museum of Naples,"['Sights & Landmarks', 'Museums', 'Churches & Cathedrals', 'Art Museums']","At the beginning of the XVII century the Clarisse Nuns of the Monastery of Santa Maria Donnaregina decided to build a new Church better complying with the Baroque taste. The construction began in the first quarter of the century seeing the participation of the most renowned artists of the period, such as F. Solimena and L.Giordano. Prestigious masterpieces by famous artists such as A. Falcone, L. Giordano, F. Solimena, M. Stanzione, M. Pino da Siena, A. Vaccaro, C. Mellin were brought back to the Church on the occasion of the opening of the Diocese Museum, whose permanent exhibition within the Church covers a surface of nearly 3000 square mt. On display also gold and silver liturgical pieces, among the others the St. Leonzio Reliquary Cross and the St. Vincenzo Treasure. The arrangement of the works of art of the Museum follows a thematic itinerary covering the most significant subjects of Christian Faith. The wide spaces available make the Museum an ideal location to host any kind",40.853985,4.5,14.258779,Naples,"Largo Donnaregina, 80138",2046069,train
The Palace of Knossos,"['Sights & Landmarks', 'Ancient Ruins', 'Historic Sites']","This prehistoric archaeological site is located just outside the island's capital city, surrounded by beautiful hills. You'll be transported back in time as you explore the ruins and learn about the fascinating history of this ancient city. The Throne Room is a highlight, with stunning frescoes that have survived for thousands of years. Make sure to visit early in the day, especially during summer, to avoid the long lines under the hot sun. You can also get skip-the-line tickets on a walking tour, that includes commentary from a knowledgeable guide. There are also combo tickets that include the Heraklion Archaeological Museum. – Tripadvisor",35.29958,4.0,25.16049,Greece,,195896,train
Palazzo Doria Pamphilj,"['Sights & Landmarks', 'Museums', 'Art Museums', 'History Museums', 'Architectural Buildings']",Stunning palace located in a central location. Full of galleries of gorgeous paintings. Make sure to ask for the audio guide to get the full experience.,41.897903,4.5,12.481618,Rome,"Via del Corso 305, 00186",243035,train
Babylon Tours Paris,"['Tours', 'Historical & Heritage Tours', 'Private Tours', 'Walking Tours', 'City Tours', 'Cultural Tours']","You’ve seen it in the movies, but what do you really know about Paris? We’ll share its stories, secrets, and scandals with you while exploring all of the places you won’t find on your own. Wander the streets and museums of the world’s most popular city on a small group or private tour of Paris. Our English speaking guides at Babylon Tours score you priority entrance and help you skip the lines at the Louvre and Musée d’Orsay. Go beyond the Eiffel Tower and experience Paris with Babylon Tours.",48.86273,5.0,2.33482,Paris,,3205960,train
Prinzessinnengarten,"['Nature & Parks', 'Gardens']",,52.50291,4.5,13.41042,Berlin,,1866748,train
David Hasselhoff Museum,"['Museums', 'Specialty Museums']",,52.530178,4.5,13.401653,Berlin,"Weinbergsweg 1a, 10119",15144865,train
DDR Museum,"['Museums', 'Specialty Museums']","Welcome to one of the most interactive museums in the world! The DDR Museum provides a unique visitor experience, making it one of Berlin’s most popular museums. Engage all of your senses to enjoy an immersive experience of everyday life in the former East Germany. Covering a range of topics based on sound academic research – everyday life, the Berlin Wall, the Stasi and much more – our exhibition encourages its visitors to touch, feel and interact, so as to reach a fun and full understanding of the past. Explore all aspects of daily life behind the Berlin Wall, including a fully furnished DDR flat, and the workings of state and Stasi – all under one roof. Please contact us in advance of your visit when you are planning to visit with 10 persons or more. Thank you!",52.519344,4.0,13.402314,Berlin,"Karl-Liebknecht-Straße 1, Direkt an der Spree, gegenüber vom Berliner Dom, 10178",619185,train
Stussibrunnen,"['Sights & Landmarks', 'Fountains']",,47.37251,4.0,8.543901,Zurich,,21360733,train
Campi Flegrei,"['Nature & Parks', 'Hot Springs & Geysers', 'Volcanos']",,40.827065,4.0,14.141785,Naples,,246297,train
Statue of Anne Frank,"['Sights & Landmarks', 'Monuments & Statues']",,52.37443,4.0,4.8835,Amsterdam,,8668133,train
Imagine Peace Tower,"['Sights & Landmarks', 'Monuments & Statues']","The IMAGINE PEACE TOWER is a work of art conceived by the legendary artist and peace advocate Yoko Ono as a beacon to world peace. It is dedicated to the memory of John Lennon.The IMAGINE PEACE TOWER is located on Viðey Island in Kollafjörður and it's light is well visible from Reykjavík city and the capital area. Every year the IMAGINE PEACE TOWER emerges an hour after sunset between 9 October (Lennon's day of birth) and 8 December (Lennon's demise). In addition the IMAGINE PEACE TOWER emerges for one week on winter solstice, on New Year's Eve, for one week during spring equinox and few other selected dates. The ever changing weather conditions play an interesting part to the strength, intensity and brilliance of the IMAGINE PEACE TOWER’S light. During it's lighting time guided tours are avaiable called the Imagine Peace Tour. The tour is dedicated to the IMAGINE PEACE TOWER and Lennon’s and Ono’s continuing campaign for world peace. It is run by Elding with departures from Reykjavík's Old harbour. The tour unites history, art and nature is an interesting way.",64.16409,4.0,-21.858952,Iceland,,2477781,train
Craven Cottage,"['Sights & Landmarks', 'Fun & Games', 'Sports Complexes', 'Arenas & Stadiums']","Visit Craven Cottage, the iconic home of Fulham Football Club, London's oldest professional football club. Walk in the footsteps of some of the greatest players to ever play the game; marvel at the 1905 Pavilion, designed by the legendary Archibald Leitch and try a seat in the Johnny Haynes Stand, named after the clubs greatest player and England captain, the first £100 a week player. Take a seat in the changing room, imagine you are playing in the match and listening to the Head Coach give a team talk. Take your place in the dugout and players tunnel and walk in the footsteps of George Cohen, the only English right-back to win the World Cup, back in 1966. The ground is traditional, historical and fascinating. Our tours are all led by an official guide who will be delighted to show you a truly special, famous and iconic ground. We cannot wait to show you around. Come on Fulham!",51.47494,5.0,-0.22196,London,"Craven Cottage Stevenage Road, Fulham, SW6 6HH",1908604,train
Santa Anna Church,"['Sights & Landmarks', 'Architectural Buildings', 'Points of Interest & Landmarks']",,41.38563,4.5,2.17183,Barcelona,,2272433,train
Eglise Saint-Sulpice,"['Sights & Landmarks', 'Churches & Cathedrals']",Designers like Versace and Sonia Rykiel have their boutiques in this trendy Parisian neighborhood.,48.85082,4.5,2.33556,Paris,"2 Rue Palatine, 75006",208638,train
Damrak,"['Sights & Landmarks', 'Points of Interest & Landmarks']","From bars and bicycles to cafes and erotic entertainment, you can find it all on this picturesque main street of Amsterdam.",52.37519,3.5,4.89542,Amsterdam,,189380,train
Ioanna massage,"['Spas & Wellness', 'Spas']","Balance your senses with the blessings of the earth, the sea and the sky. Experience wellness through a versatile range of massage treatments. Couple massage appointments Luxury massage experience Face and body treatments by Ioanna massage",36.725296,5.0,24.44476,Greece,,20920920,train
Milea Massage Milos,"['Spas & Wellness', 'Spas']","MILEA MASSAGE is an new relaxation service at your convenience,by experienced therapists in the field of massage and wellness. MILEA MASSAGE’s services are designed to give you a holistic experience of rejuvenating body,mind and soul. The products we use have been selected for their quality,purity and beneficial properties. They are all Greek & Organic products and we are proud to say that we only",36.700684,5.0,24.490925,Greece,"Zefiria, 84800",23383926,train
Rodos Nature - Folklore Museum,"['Museums', 'Specialty Museums', ""Children's Museums"", 'History Museums']","Featuring an interesting collection of farming implements, guns, tools, ancient artefacts and much more, this cosy little museum offers an insight into the life of locals and history of Rhodes. For nature lovers, the museum also has samples of native and non-native plants which the owner will for sure share some interesting facts about.",36.253258,5.0,28.15781,Greece,"Οδός Ενωμένης Ευρώπης, 85100",10620295,train
Certosa e Museo di San Martino Napoli,"['Museums', 'Specialty Museums']","Founded in the 14th century as a Cartusian monastery, this museum contains a ceiling painting of the ""Ascension"" by Lanfranco and the ceiling fresco of the ""Triumph of Judith"" (1704) by Luca Giordano.",40.843033,4.5,14.241007,Naples,"Largo San Martino, 5, 80129",195426,train
Luxembourg Gardens,"['Nature & Parks', 'Gardens', 'Parks']","Luxembourg Gardens is a charming oasis in the heart of Paris, loved by both locals and travelers alike. With 55 acres of manicured gardens, it's the perfect place to unwind and soak up the Parisian atmosphere. You can admire the beautifully arranged flower beds, towering trees, and the grand Luxembourg Palace which overlooks the gardens. In the summer, the park is great for picnics and family outings. Be sure to check out the pétanque (lawn bowling) and chess areas, too. To learn more about the park's rich history, consider joining a walking tour of the gardens. – Tripadvisor",48.84615,4.5,2.337203,Paris,,189687,train
Crete Lux Travel,"['Transportation', 'Taxis & Shuttles']","Crete Lux Travel provides services for your group or family, from all major airports and ports in Crete to all surrounding towns, hotels, villas, famous beaches or historical monuments. Whether you are visiting Crete for a business trip, having a holiday, or even if you just need a car for a few hours, we will be glad to help you.",35.509388,5.0,24.008993,Greece,,12538998,train
NEMO Science Museum,"['Museums', 'Science Museums', ""Children's Museums""]","Expand your world at NEMO Science Museum. In the largest science museum of the Netherlands you will find proof that science and technology can be captivating for all ages. The remarkable building on top of the IJ-tunnel offers five floors of exciting hands-on activities. At NEMO you can experience the joy of science and technology, by blowing gigantic soap bubbles, watch an enormous chain reaction and experiment in a real laboratory. In a variety of exhibitions you can 'Take a journey through the mind' or learn that there is more than meets the eye when it comes to sustainable electricity and smart transportation at 'Smart Technology'. Enjoy a magnificent view over Amsterdam The creative mind behind NEMO, build in 1997, is Italian architect Renzo Piano. He had a clear vision for his design of the NEMO building, with its very own piazza 22 metres above water level. The spectacular roof terrace has a magnificent view over Amsterdam and the Eastern Docklands. You can access the roof terrace free of charge. The roof terrace and cafe in NEMO are the perfect places to sit back, relax and enjoy a drink.",52.37409,4.0,4.912154,Amsterdam,,194315,train
Museum fuer Naturkunde Berlin,"['Museums', 'Natural History Museums']","As a globally active, interdisciplinary research institute of the Leibniz Association, the Museum für Naturkunde Berlin uses its more than 30 million collection objects to explore the origins of the Earth and of life. Our exhibitions are a window on our research. Outstanding examples are the original of the rare archaeopteryx lithographica and Giraffatitan brancai. The biodiversity wall, the walk-in wet collection and the numerous special exhibitions also provide impressive insights into the museum's research work. Numerous events and educational offers such as the Science Slam, the Carl Zeiss Microscopy Centre and also Naturblick - an app on Berlin's urban nature as well as many other offers convey the latest findings and inspire people to get involved in nature themselves.",52.530243,4.5,13.379276,Berlin,"Invalidenstraße 43, 10115",816093,train
Buyuk Mecidiye Cami,"['Sights & Landmarks', 'Sacred & Religious Sites']",,41.04782,4.5,29.0266,Istanbul,"Mecidiye Mah., Ortaköy, Beşiktaş",3601365,train
The Rock Bar Ibiza,"['Nightlife', 'Bars & Clubs']","Who we are? What we do? Team Rock are a unique blend of friendly characters, full of stories and advice should you need it, with a rather special determination to make sure you leave The Rock in not quite the same state you arrived. We have a range of drinks to cater for all tastes and budgets. All our spirits are quality branded spirits and we have an extensive list of vodkas, gins, whiskeys and rums. Our cocktails are made to order using fresh fruit and high quality branded spirits. We can arrange free guest lists for clubs around the island, so let us know what your plans are and we will help all we can.",38.909294,4.5,1.439356,Ibiza,,4556463,train
Berlin Central Station,"['Sights & Landmarks', 'Architectural Buildings']",,52.52463,4.5,13.36637,Berlin,,2183304,train
Village of Lindos,"['Sights & Landmarks', 'Ancient Ruins', 'Historic Sites']","Situated on a hilltop and surrounded by an enchanting bay and pristine beach, the fishing village of Lindos is famous for both its historical and natural beauty. Unwind at mythical St. Paul’s Bay before visiting the Acropolis of Lindos, the Lindos Archaeological Museum, and other historical sites in the area. Donkey rides are a traditional mode of transport here and remain a popular way of climbing the village’s steep hills. Driving and parking can be challenging, especially in the summer, so consider taking a ferry or a catamaran to Lindos or getting a bus from Rhodes Town. – Tripadvisor",36.091774,4.5,28.086,Greece,,523855,train
Santa Maria Sopra Minerva,"['Sights & Landmarks', 'Sacred & Religious Sites', 'Historic Sites', 'Points of Interest & Landmarks', 'Churches & Cathedrals']",,41.89799,4.5,12.47771,Rome,,243025,train
Museo di Paleontologia,"['Museums', 'Science Museums']",,40.84745,4.5,14.25817,Naples,"Largo S. Marcellino, 10, 80131",11901346,train
Cafe Hoppe,"['Nightlife', 'Sights & Landmarks', 'Architectural Buildings', 'Bars & Clubs']","Established in 1670 and located in the center of a shopping, entertainment and nightlife district, this popular pub is famous for spontaneous parties that involve all patrons.",52.368786,4.5,4.888653,Amsterdam,,190169,train
Saltvik,"['Outdoor Activities', 'Horseback Riding Tours']",Saltvik offers riding experiences from short dayrides from the farm to multy day highland tours in the wilderness of Iceland.,65.99906,5.0,-17.363068,Iceland,,4323739,train
German Fountain,"['Sights & Landmarks', 'Points of Interest & Landmarks']",,40.98312,4.0,28.88592,Istanbul,,548969,train
Les Miserables London,"['Concerts & Shows', 'Performances']","The immensely poignant London classic, Les Miserables London, is one of the most successful legendary productions by Cameron Mackintosh. Boubil and Schonberg’s spectacular show, Les Miserables celebrated its silver jubilee anniversary on October 2012 and is regarded as the longest running musical of the world.",51.5118,5.0,-0.132582,London,"51 Shaftesbury Avenue, W1D 6BA",2402486,train
Hammam Pacha,"['Spas & Wellness', 'Hammams & Turkish Baths', 'Spas']","Hammam Pacha the reference steam rooms for over 35 years! "" Open the doors of well-being"" Out of nearly 700 sqm in the heart of the 6th district of Paris Open 7 days 7 , including holidays * No appointment except for depilation Exclusively for Women "" An ancestral family tradition """,48.846447,4.5,2.319362,Paris,"17 Rue Mayet, 75006",2211151,train
The Resistance,"['Fun & Games', 'Room Escape Games']",,41.38556,5.0,2.13118,Barcelona,"Carrer de Taquígraf Martí, 29, 08028",13073737,train
Kensington Gardens,"['Nature & Parks', 'Gardens', 'Parks']","Separated from Hyde Park by the Serpentine, a lake used by boaters and swimmers, this park is calmer and more peaceful than its neighbor, and features many attractions including a statue of Peter Pan, Albert Memorial and the Serpentine Art Gallery.",51.506935,4.5,-0.179232,London,"The Magazine Storeyard, Magazine Gate, W2 UH",188893,train
Sihlcity,"['Shopping', 'Shopping Malls']",,47.358376,4.0,8.523121,Zurich,,10679015,train
Bibliothek Rechtswissenschaftliches Institut,"['Sights & Landmarks', 'Traveler Resources', 'Libraries', 'Architectural Buildings']",,47.37318,4.5,8.550361,Zurich,"Rämistrasse 74, 8001",8073801,train
Piazza del Campidoglio,"['Sights & Landmarks', 'Points of Interest & Landmarks', 'Historic Walking Areas']","This beautiful square, designed by Michelangelo Buonarroti (1538-1584,) features an elliptical courtyard with a central figure sculpture.",41.89345,4.5,12.482627,Rome,,197716,train
Nupshestar,"['Outdoor Activities', 'Horseback Riding Tours']",Nupshestar – Riding Tours offer a horse rental and horse riding tours in South Iceland. In offer are short riding tours and a few days riding tours in Thjorsa Valley. We welcome any kind of experience riders. We also offer custom tours for all kind of groups.,64.0371,5.0,-20.4145,Iceland,,3226676,train
Kirche Enge,"['Sights & Landmarks', 'Churches & Cathedrals']",,47.362545,4.5,8.529767,Zurich,,3353321,train
Porta San Gennaro,"['Sights & Landmarks', 'Points of Interest & Landmarks']",,40.85879,4.0,14.26121,Naples,,6481810,train
Markthalle Im Viadukt,"['Shopping', 'Shopping Malls']",,47.387444,4.0,8.525398,Zurich,,12672136,train
Duomo di Napoli,"['Sights & Landmarks', 'Churches & Cathedrals']",,40.85208,4.5,14.25908,Naples,"Via Duomo 147, 80138",1987333,train
Oneiro Milos,"['Tours', 'Boat Tours & Water Sports', 'Outdoor Activities', 'Scuba & Snorkeling', 'Boat Tours', 'Private Tours', 'Sightseeing Tours', 'Boat Rentals']","The boat is Beneteau Oceanis 400 Sailboat, 40 feet. It has lifeboats and life vests for our safety. It is maintained and inspected every year by Lloyd’s Register. It has a toilet, hot and cold water, shade, pillows and facilities for an enjoyable trip. Also on board there are swimming accessories, masks, respirators, flippers, life jackets, beach towels and more… Traveling with “Oneiro” you have the opportunity to visit inaccessible beaches of Milos, to explore hospitable caves and to swim in clear blue waters. Enjoy the summer sun and the sea breeze by sailing with a sailboat safe in all weather conditions and comfortable for the passengers..",36.72486,5.0,24.446955,Greece,,4875379,train
In de Wildeman,"['Nightlife', 'Bars & Clubs']","A beer lover's paradise, this Amsterdam institution serves literally hundreds of different kinds.",52.376225,4.5,4.895146,Amsterdam,,539406,train
Barcelona Day Tours,"['Tours', 'City Tours', 'Cultural Tours', 'Private Tours', 'Sightseeing Tours', 'Day Trips']","We provide top quality tours with personal pick-up from your hotel, cruise port, or the airport. We offer small-group and private excursions in and around Barcelona- with skip-the-line option too! We will make sure you have an enjoyable and memorable time. We understand how important your holiday is and we are committed to making sure you are 100% happy - before, during, and after your tour with us.",41.38809,5.0,2.16726,Barcelona,,1603406,train
Colle del Gianicolo,"['Sights & Landmarks', 'Nature & Parks', 'Geologic Formations', 'Lookouts', 'Historic Sites']",A scenic hill popular for its breathtaking views of the city.,41.88859,4.5,12.4627,Rome,"Via Garibaldi, Salita di Sant'Onofrio, 00165",208560,train
Dreamy Cruises,"['Tours', 'Boat Tours & Water Sports', 'Outdoor Activities', 'Boat Tours', 'Boat Rentals', 'Private Tours', 'Nature & Wildlife Tours', 'Day Trips']","A dreamy day out ! Get ready to be amazed from the beauties of our lovely island Kefalonia ! Konstantinos our boat will sail you to beautiful destinations with amazing waters and uninhabited small islands , if you are lucky enough you may even spot some dolphins ! Swim in crystal clear waters , explore , try a rejuvenating clay bath while enjoying Greek traditional food ! At night the konstantinos turn into a romantic boat that will take you to experience the magical sunset of our island , with the option for a night swim , with live music and traditional greek buffet ! Our boat is also available for your own dreamy day out , enjoy the beauties of kefalonia with just your friends or your family on board !",38.177593,5.0,20.489807,Greece,,13335944,train
Experience Escape Room,"['Fun & Games', 'Room Escape Games']","Experience Escape Room, la nuova frontiera dell'intrattenimento. Prova le nostre ""Esperienze"" e vivrai 60 minuti in una realta parallela.",41.76205,5.0,12.46575,Rome,"Via dei Legatori, 68/70, 00128",13272903,train
Lungomare Caracciolo,"['Sights & Landmarks', 'Scenic Walking Areas', 'Historic Walking Areas']",,40.83205,4.5,14.23007,Naples,,3221195,train
Plaza de Oriente,"['Sights & Landmarks', 'Points of Interest & Landmarks']",,40.418873,4.5,-3.711986,Madrid,,592213,train
Via Margutta,"['Sights & Landmarks', 'Points of Interest & Landmarks']",,41.908855,4.5,12.479544,Rome,"Via Margutta, Via Margutta, 00187",590553,train
Zen Spa,"['Spas & Wellness', 'Spas', 'Hammams & Turkish Baths']","""ZEN is of far eastern origin, built on the importance of the present moment, enabling people to see the depth of their inner being. The instruments of this art are a harmonious body and a calm mind. Zen Spa offers you a unique opportunity to relax your body and mind at the same time. We offer a peaceful atmosphere where you can get rid of the tiredness caused by business life, the stress of city life and all the negative rhythms produced by your daily life. You will have a pleasant time in a hygienic and warm environment on your own or with your loved ones, accompanied by our treats.",41.04066,5.0,28.98497,Istanbul,"Receppaşa Cad. No. 15, 34437",14009942,train
Barcelona Pavilion,"['Sights & Landmarks', 'Architectural Buildings']",,41.37128,4.5,2.14958,Barcelona,,313686,train
San Carlo alle Quattro Fontane,"['Sights & Landmarks', 'Sacred & Religious Sites', 'Historic Sites', 'Churches & Cathedrals']",,41.901882,4.5,12.490371,Rome,,246166,train
Crack The Egg,"['Fun & Games', 'Room Escape Games']","An immersive escape game in the center of Paris. Delve into the labyrinths of History and Time, by following three breathtaking storylines, three independent chapters and become the heroes of an epic quest. Embark on an extraordinary and unusual adventure, discover our unique universes and explore our original and creative sets. Unravel the Mystery of the Egg.",48.84576,5.0,2.378185,Paris,"46 avenue daumesnil, 75012",12912290,train
Bebelplatz,"['Sights & Landmarks', 'Historic Sites']","The site of the Nazi bookburning on May 10, 1933 now houses a memorial to that event: a below-ground room lined with empty bookcases, which you see through a window set in the pavement.",52.516647,4.0,13.393942,Berlin,,274495,train
Parque del Laberint d'Horta,"['Nature & Parks', 'Parks']",,41.43845,4.5,2.148,Barcelona,,2394734,train
Schweizer Finanzmusem,"['Museums', 'Specialty Museums']","In a multimedia exhibition, the first and only financial museum in Switzerland – a country known for its banks – explains the origins of the economic system and the role of the stock market. What are stocks? How are they traded on stock exchanges? And are we heading toward a cashless future? Audio installations, interactive video sequences and touchscreen animations provide visitors to the museum with a fun way of learning more about the players, processes and developments in the Swiss financial centre. For the first time, the general public is able to see a simplified version of the training programme used to prepare stockbrokers for working on the Swiss stock exchange, while the ""stock exchange game"" lets visitors run through a day on the Swiss stock exchange.",47.391396,3.5,8.506717,Zurich,,12787180,train
Hair Cut Day,"['Spas & Wellness', 'Spas']","Peluquería en el centro de Barcelona, próxima a Paseo de Gracia. Hair Cut Day siempre garantiza las últimas tendencias en color y los mejores cortes de pelo de la temporada. En el salón de belleza podrás encontrar servicios de peluquería y estética para mujeres y para hombres. Los servicios estrella son balayage, rubios, alisado keratina, alisado japones y extensiones. Los profesionales de Hair Cut Day son de los mejores peluqueros de Barcelona especializados en color y nuevas tendencias. También destacan los servicios de manicura, pedicura y depilación",41.39372,5.0,2.16669,Barcelona,"Carrer d'Aragó, 287, 08009",17540175,train
Queen's Head,"['Nightlife', 'Gay Clubs & Bars']",A relatively new pub for a gay clientele located in Amsterdam's red light district.,52.37565,4.5,4.9004,Amsterdam,,197807,train
Memorial des Martyrs de la Deportation,"['Sights & Landmarks', 'Points of Interest & Landmarks', 'Historic Sites']","Located on the Île de la Cité, this memorial is dedicated to the 200,000 French citizens who died in concentration camps during World War II.",48.851875,4.5,2.352404,Paris,"Square de l'Île de France, 75004",190975,train
Gallery Fatih,"['Shopping', 'Gift & Specialty Shops']",09:00 21:00,41.003647,5.0,28.975327,Istanbul,"K Ayasofya Caddesi, No39/B, 34122",8743801,train
